Sum of TimeMicroseconds,Column Labels,,,,,,,,,
,LinkedList,,,BST,,,HashMap,,,(blank)
Row Labels,Insert,Search,Delete,Insert,Search,Delete,Insert,Search,Delete,(blank)
0,29.7,3.7,1.3,9.5,27.8,4.8,6.2,1.7,1.6,
5,12,1.6,1.4,16.1,19.7,17.9,2.5,0.6,1.1,
10,11.5,2.3,1.7,25.7,33.2,25.5,17,0.7,1,
15,18.3,1.4,2.2,31.8,3.8,18,2.7,0.8,3.1,
20,14.6,2.3,1.8,37.3,34.7,33,2.8,0.7,1.3,
25,17.4,3.8,2.6,47.3,36.3,32.2,3,0.9,1.4,
30,16.6,4.4,2.2,18.3,49.8,38.6,2.7,0.8,1,
35,11.4,3,2.4,53,49.6,42.8,2.4,0.8,0.9,
40,11.4,2.8,3.3,31.9,44.7,39,2.5,1.1,3.9,
45,16.5,5.1,2.6,22.2,49.4,46,2.8,0.6,1.2,
50,15,4.2,2.9,36.4,43,39.4,2.7,0.5,1.2,
55,15.5,3,2.9,48,22.8,23.4,2.7,1.3,3.5,
60,11.9,2.9,3.2,24,57.8,72.5,2.6,0.6,3.7,
65,11.1,6.6,9.3,24.7,33.4,21.8,2.4,0.5,0.9,
70,11.8,3,3.8,41.8,38.4,34.5,2.9,0.7,4.9,
75,25,6.4,3.6,62.3,69.7,31.8,4.4,1.5,5,
80,11.8,4.9,4.3,36,36.8,40.2,2.4,1.1,4.6,
85,13,8.1,4.9,41.6,24.7,22.5,3.2,0.7,3.4,
90,13.6,23.7,5.8,42.2,32.7,148.7,2.5,1,4,
95,13,6.5,4.1,33.9,26.1,25.4,7,2.7,5,
100,11.5,3.5,4.1,21.4,47.7,43.1,2.3,0.8,4.5,
105,16.2,6.3,4.2,39.4,44,36.6,2.9,0.9,4.7,
110,13.1,5.8,4.1,55.5,50.1,49.4,2.7,1.3,4,
115,13.5,3.7,3.2,25.5,17.7,27,19.2,1,5.4,
120,14.5,10.7,4.8,51.1,53.2,30.8,4.3,1.6,4.9,
125,13.2,12.5,6.1,52.2,80.8,46.8,2.6,1.2,4,
(blank),,,,,,,,,,
