Sum of TimeMicroseconds,Column Labels,,,,,,,,,
,LinkedList,,,BST,,,HashMap,,,(blank)
Row Labels,Insert,Search,Delete,Insert,Search,Delete,Insert,Search,Delete,(blank)
0,62.1,2,1.4,3.6,13.6,4,3.3,0.9,1.2,
300,12,11.4,14.9,49,78.3,61.1,2.5,0.6,2.4,
600,31.2,23.4,20.4,68.6,135.6,58.5,5.5,1.6,6.4,
900,18.2,39.5,45.5,79.4,85.5,64.1,2.8,0.6,2.1,
1200,16.6,44.1,65.1,64.3,83.7,66.7,2.3,0.6,14.3,
1500,18.7,51.4,84,60.7,107.4,80.1,2.8,0.8,2.3,
1800,19.1,62.7,88.8,66.2,109.5,79.3,2.5,1.4,6,
2100,20.5,66.1,97.5,57.3,36.4,27.5,2.4,0.7,1.9,
2400,23.1,106.4,134.5,60.2,90.1,67,2.5,1,2.9,
2700,47.9,18.6,13,68.9,65.9,69.8,4.2,2.8,6.1,
3000,25.1,111.7,119,82.5,77.1,70.9,2.5,1.5,5.7,
3300,28.3,120.2,204.5,88.4,76.1,61.6,2.5,1,2.9,
3600,81.2,107.5,59.4,123.9,213.9,91.4,5,1.6,5.2,
3900,33.6,57.3,82.2,65.2,92.4,72.4,2.5,1.6,6.3,
4200,35.6,33.8,41.4,59.2,95,82.6,3.1,1.2,4.9,
4500,35.8,18.7,24.8,62.8,59.2,50.9,2.4,0.8,5.4,
4800,38.7,227.2,217.6,80.1,79.6,43.1,2.5,0.8,3,
5100,54.9,33.4,36.3,68.7,108.5,104.4,2.6,1,5.5,
5400,47.9,137,164.1,43.4,72.1,47.5,2.2,1.5,6.5,
5700,197.1,56,33.8,273.5,215,78.1,5.7,1.2,5.7,
6000,70.3,36.5,47.4,71.5,61.3,78.4,2.5,1.3,7.4,
6300,63.7,226,321.4,52.2,93.3,60.9,3,0.8,2.4,
6600,71,15.2,16.4,75.7,61.8,61.5,2.5,0.9,5.5,
6900,84,234.5,258.3,100,155.5,112.5,2.6,1.5,3.1,
7200,118,227.6,103.9,118.5,95.6,51.6,12.2,4.4,6.4,
(blank),,,,,,,,,,
