Sum of TimeMicroseconds,Column Labels,,,,,,,,
,Insert,,,Search,,,Delete,,
,LinkedList,BST,HashMap,LinkedList,BST,HashMap,LinkedList,BST,HashMap
0,21,11.9,10.5,9.2,20.4,2.6,1.3,7.9,1.3
5000,92.2,104.2,4.7,305.7,267.8,2.1,185.9,103.8,2.9
10000,128.9,96.2,2.5,411.6,153.5,1.1,930.7,271.9,4
15000,242.5,437.7,4.9,964.8,158.2,4.2,1043.2,83.7,4.9
20000,247.7,64.4,2.6,1024.2,180.7,5.9,755.4,90.2,4.7
25000,321.1,76.5,2.6,1172.9,115.8,6,1194.3,100.1,11.7
30000,403.7,122.3,3.2,2036.3,379.3,1.7,993.3,144.5,2.7
35000,456.2,200.1,4.8,1915.1,124.5,3.3,1392,138.1,11
40000,441.7,68.6,2.6,1991.2,137,2.5,1337.4,90,4.2
45000,525.3,114.6,2.8,1998.3,149.1,4,2001.8,115.3,6.2
50000,657.9,141.6,3.1,2079.4,170.3,19.3,1533.8,88.4,8.9
55000,860.1,123.9,3,1363.6,150.7,1.2,1160.9,139.3,5.2
60000,1096.9,133.4,2.8,759.9,136.9,2.2,675.2,118.4,15.8
65000,956.8,160,5.9,2017.9,101.1,1.6,1680.1,77.2,10.2
70000,969.4,86.2,3.1,4083.5,141.8,5.5,3570.6,131.7,11.3
75000,2342.9,163,15.6,3063.2,139.4,6.4,2232.8,101.3,13.7
80000,2269.2,99.9,3.5,3520,143.2,14.2,2587.8,127.5,26.1
85000,1243.9,147,3.2,532.8,122.3,22.2,539.5,98.5,9.2
90000,2520,92.7,3.1,4975.7,186.7,8.8,4275.2,142.8,13
95000,2128,120.8,3.5,2553,149.4,5.2,3253.8,122.8,11.5
100000,5850.5,134.4,4.7,4211.8,224.6,6.1,3251,82.9,10.4
105000,6139,125.9,5.6,1632.4,137.5,3.2,1585.3,145.6,7.4
110000,8200.4,137.3,3,3070.6,197.8,6.4,2658.9,114,10.9
115000,5996.5,129.1,6.3,225.1,180.4,9.9,260.2,324.9,12.7
120000,7830.1,233.4,8.3,82,140.8,3.1,46.3,81.6,8.2
125000,7148.5,69.1,3.9,192.6,88.4,2.8,219.9,139.5,7.2
130000,10601.4,238.4,11.2,1948.1,302.8,7.1,1825.9,125.4,10.7
135000,8893.2,231.2,8.8,7384.4,175.1,4.9,6222.4,160,13.1
140000,5913.1,182.6,4.6,3160.3,134.2,6.7,2301.9,117,15.1
145000,9536.7,105.2,5.8,2793.8,155.2,8,2703.7,268.7,21.2
150000,7680.7,316.9,6.1,3746.4,240.5,8.7,2324.7,118.9,12
155000,9158.6,124.2,7.5,10160.7,377.8,9.42,14000.2,127.3,7.7
160000,11224.9,111.2,8,9005.5,377.8,9.42,9434.22,90.2,9.9
